images2\68113105528.1.JPG
pencil_sharpener,can_opener,hand_blower,scale,soap_dispenser,sewing_machine,power_drill,dumbbell,swab,hook,paper_towel,washbasin,toilet_seat,printer,rubber_eraser,switch,shovel,hammer,joystick,carpenter's_kit,cash_machine,modem,plunger,toilet_tissue,whistle,strainer,nail,safety_pin,screw,iron,hair_slide,web_site,dial_telephone,toaster,hand-held_computer,combination_lock,maraca,nipple,pay-phone,digital_watch
0.418999,0.159421,0.102162,0.0556589,0.0327227,0.0271527,0.0189078,0.0165928,0.0157832,0.0153924,0.0132057,0.00909251,0.00819118,0.00762839,0.00741903,0.00733529,0.0065374,0.00541965,0.00508412,0.00358432,0.00353106,0.00308994,0.00301035,0.00221609,0.00207527,0.00156217,0.00148058,0.00139047,0.00138639,0.0013297,0.00127548,0.00122207,0.00121083,0.00112101,0.00110624,0.00107458,0.00101187,0.00097374,0.000967369,0.000957875
images2\68113105529.1.JPG
hand_blower,sewing_machine,can_opener,pencil_sharpener,toilet_seat,scale,power_drill,iron,soap_dispenser,dumbbell,toaster,joystick,washbasin,plunger,hammer,paper_towel,printer,switch,swab,toilet_tissue,espresso_maker,water_jug,safe,washer,nipple,hook,dial_telephone,pill_bottle,carpenter's_kit,measuring_cup,potter's_wheel,cash_machine,whistle,web_site,vacuum,rubber_eraser,sunscreen,waffle_iron,neck_brace,lotion
0.700516,0.0852112,0.0396002,0.0284847,0.0277815,0.021982,0.0139117,0.00848656,0.00700028,0.00641023,0.00598354,0.00447203,0.00443151,0.00383151,0.00373822,0.00312661,0.00309338,0.00284445,0.00179814,0.00163949,0.00126816,0.00121017,0.00111,0.00105567,0.000982411,0.000837204,0.00057296,0.000537148,0.000518738,0.000507591,0.000504228,0.000380671,0.000374227,0.000372737,0.000366907,0.000346205,0.000341723,0.000333108,0.000326042,0.000317607
images2\68113105532.1.jpg
can_opener,toaster,printer,envelope,refrigerator,espresso_maker,remote_control,mouse,modem,hand_blower,projector,power_drill,menu,carton,soap_dispenser,washer,vacuum,screwdriver,web_site,book_jacket,cash_machine,photocopier,wall_clock,toilet_seat,carpenter's_kit,stove,recreational_vehicle,CD_player,hammer,switch,paper_towel,cellular_telephone,microwave,dishwasher,cleaver,rifle,iron,tape_player,ballpoint,safe
0.0505036,0.0502825,0.0476849,0.0290228,0.0285705,0.0278514,0.0265913,0.0262255,0.0239675,0.0224831,0.0216192,0.020727,0.020269,0.0187811,0.0181052,0.0169828,0.0167569,0.0150052,0.0137376,0.0132325,0.0122027,0.0112353,0.0101641,0.00983734,0.00949427,0.0094375,0.00922383,0.00898037,0.00884105,0.00857747,0.00852179,0.00816425,0.00790407,0.0076405,0.00748625,0.0072258,0.00697897,0.00684358,0.0066798,0.00666227
images2\68113105533.1.jpg
can_opener,modem,corkscrew,pencil_sharpener,hair_slide,switch,space_shuttle,screw,airship,web_site,hammer,letter_opener,pencil_box,sewing_machine,printer,ocarina,iron,rubber_eraser,envelope,remote_control,hard_disc,rule,jigsaw_puzzle,monitor,safe,screwdriver,scabbard,nail,harmonica,ballpoint,carpenter's_kit,electric_guitar,hook,cleaver,screen,joystick,airliner,projector,carton,laptop
0.205342,0.0933869,0.0524648,0.047979,0.0332036,0.0296658,0.0283629,0.0244479,0.0221916,0.0186869,0.0162374,0.016055,0.014692,0.0129991,0.0122446,0.0114177,0.0112953,0.0110425,0.0104964,0.0104019,0.0100047,0.00933672,0.00915609,0.00844922,0.00806786,0.00784469,0.00761877,0.00755126,0.00745387,0.00732865,0.0067563,0.00599073,0.00534478,0.00530965,0.00522772,0.00517115,0.00515721,0.00512837,0.00461914,0.00455805
images2\68113105534.1.JPG
switch,can_opener,lighter,modem,remote_control,digital_watch,hard_disc,mouse,hook,hand-held_computer,printer,hand_blower,paper_towel,knee_pad,letter_opener,combination_lock,scale,cellular_telephone,joystick,binder,buckle,cleaver,whistle,holster,pencil_sharpener,mailbag,radio,soap_dispenser,loudspeaker,loupe,safe,envelope,stopwatch,Polaroid_camera,cassette_player,iPod,packet,web_site,hammer,reflex_camera
0.402058,0.0732331,0.04834,0.04442,0.0304899,0.0288357,0.0228037,0.0208305,0.0161937,0.0154641,0.0148361,0.0141167,0.0122926,0.0109663,0.00974781,0.00917798,0.00863843,0.00796242,0.00761836,0.00748658,0.00670836,0.00667455,0.00663652,0.00648854,0.00618553,0.00614811,0.00602287,0.00585621,0.00525083,0.0051222,0.00501053,0.00475736,0.00468752,0.00426988,0.00389823,0.00380021,0.00327769,0.00322749,0.00288211,0.00276574
images2\68113105535.1.JPG
can_opener,hand_blower,hatchet,sewing_machine,hammer,cleaver,digital_watch,lighter,buckle,pencil_sharpener,printer,packet,revolver,holster,power_drill,whistle,letter_opener,scabbard,corkscrew,paper_towel,iron,scale,screw,switch,loupe,paintbrush,cassette_player,hard_disc,joystick,shovel,carpenter's_kit,binder,harmonica,hook,modem,rifle,Polaroid_camera,dumbbell,plane,assault_rifle
0.0772804,0.0765918,0.0696529,0.063059,0.052684,0.048612,0.0425021,0.03753,0.0334296,0.0327828,0.028666,0.0272684,0.0240321,0.0231431,0.0218701,0.0173053,0.0166818,0.0159388,0.0146785,0.0128715,0.0117197,0.0107166,0.00945587,0.00872833,0.00812967,0.00729954,0.00714342,0.00712145,0.00637875,0.00627044,0.00588549,0.00582734,0.00569096,0.00547213,0.00531504,0.00516662,0.00494824,0.0048351,0.00470367,0.00442513
images2\68113105537.1.JPG
cocktail_shaker,espresso_maker,perfume,lotion,lighter,soap_dispenser,whiskey_jug,water_jug,can_opener,corkscrew,coffeepot,combination_lock,joystick,Polaroid_camera,sunscreen,digital_watch,radio,hook,switch,water_bottle,scale,binoculars,cleaver,whistle,mouse,loupe,quill,pencil_sharpener,microphone,letter_opener,carpenter's_kit,cellular_telephone,nipple,saltshaker,stopwatch,hair_spray,modem,paper_towel,remote_control,sewing_machine
